"ts_code","symbol","name","area","industry","fullname","market","list_date"
"603230.SH",603230,内蒙新华,内蒙,出版业,内蒙古新华发行集团股份有限公司,主板,20211224
"603232.SH",603232,格尔软件,上海,软件服务,格尔软件股份有限公司,主板,20170421
"603233.SH",603233,大参林,广东,医药商业,大参林医药集团股份有限公司,主板,20170731
"603236.SH",603236,移远通信,上海,通信设备,上海移远通信技术股份有限公司,主板,20190716
"603238.SH",603238,诺邦股份,浙江,纺织,杭州诺邦无纺股份有限公司,主板,20170222
"603239.SH",603239,浙江仙通,浙江,汽车配件,浙江仙通橡塑股份有限公司,主板,20161230
"603256.SH",603256,宏和科技,上海,玻璃,宏和电子材料科技股份有限公司,主板,20190719
"603258.SH",603258,电魂网络,浙江,互联网,杭州电魂网络科技股份有限公司,主板,20161026
"603259.SH",603259,药明康德,江苏,化学制药,无锡药明康德新药开发股份有限公司,主板,20180508
"603260.SH",603260,合盛硅业,浙江,化工原料,合盛硅业股份有限公司,主板,20171030
"603266.SH",603266,天龙股份,浙江,汽车配件,宁波天龙电子股份有限公司,主板,20170110
"603267.SH",603267,鸿远电子,北京,元器件,北京元六鸿远电子科技股份有限公司,主板,20190515
"603268.SH",603268,松发股份,广东,家居用品,广东松发陶瓷股份有限公司,主板,20150319
"603269.SH",603269,海鸥股份,江苏,机械基件,江苏海鸥冷却塔股份有限公司,主板,20170517
"603277.SH",603277,银都股份,浙江,专用机械,银都餐饮设备股份有限公司,主板,20170911
"603278.SH",603278,大业股份,山东,钢加工,山东大业股份有限公司,主板,20171113
"603279.SH",603279,景津装备,山东,环境保护,景津装备股份有限公司,主板,20190729
"603283.SH",603283,赛腾股份,江苏,专用机械,苏州赛腾精密电子股份有限公司,主板,20171225
"603286.SH",603286,日盈电子,江苏,汽车配件,江苏日盈电子股份有限公司,主板,20170627
"603288.SH",603288,海天味业,广东,食品,佛山市海天调味食品股份有限公司,主板,20140211
"603289.SH",603289,泰瑞机器,浙江,专用机械,泰瑞机器股份有限公司,主板,20171031
"603290.SH",603290,斯达半导,浙江,半导体,嘉兴斯达半导体股份有限公司,主板,20200204
"603297.SH",603297,永新光学,浙江,元器件,宁波永新光学股份有限公司,主板,20180910
"603298.SH",603298,杭叉集团,浙江,专用机械,杭叉集团股份有限公司,主板,20161227
"603299.SH",603299,苏盐井神,江苏,食品,江苏苏盐井神股份有限公司,主板,20151231
"603300.SH",603300,华铁应急,浙江,多元金融,浙江华铁应急设备科技股份有限公司,主板,20150529
"603301.SH",603301,振德医疗,浙江,医疗保健,振德医疗用品股份有限公司,主板,20180412
"603303.SH",603303,得邦照明,浙江,家用电器,横店集团得邦照明股份有限公司,主板,20170330
"603305.SH",603305,旭升集团,浙江,汽车配件,宁波旭升集团股份有限公司,主板,20170710
"603306.SH",603306,华懋科技,福建,汽车配件,华懋(厦门)新材料科技股份有限公司,主板,20140926
"603308.SH",603308,应流股份,安徽,机械基件,安徽应流机电股份有限公司,主板,20140122
"603309.SH",603309,维力医疗,广东,医疗保健,广州维力医疗器械股份有限公司,主板,20150302
"603311.SH",603311,金海高科,浙江,家用电器,浙江金海高科股份有限公司,主板,20150518
"603313.SH",603313,梦百合,江苏,家居用品,梦百合家居科技股份有限公司,主板,20161013
"603316.SH",603316,诚邦股份,浙江,建筑工程,诚邦生态环境股份有限公司,主板,20170619
"603317.SH",603317,天味食品,四川,食品,四川天味食品集团股份有限公司,主板,20190416
"603319.SH",603319,湘油泵,湖南,汽车配件,湖南机油泵股份有限公司,主板,20161130
"603320.SH",603320,迪贝电气,浙江,电气设备,浙江迪贝电气股份有限公司,主板,20170502
"603321.SH",603321,梅轮电梯,浙江,运输设备,浙江梅轮电梯股份有限公司,主板,20170915
"603323.SH",603323,苏农银行,江苏,银行,江苏苏州农村商业银行股份有限公司,主板,20161129
"603324.SH",603324,盛剑环境,上海,环境保护,上海盛剑环境系统科技股份有限公司,主板,20210407
"603326.SH",603326,我乐家居,江苏,家居用品,南京我乐家居股份有限公司,主板,20170616
"603327.SH",603327,福蓉科技,四川,元器件,四川福蓉科技股份公司,主板,20190523
"603328.SH",603328,依顿电子,广东,元器件,广东依顿电子科技股份有限公司,主板,20140701
"603329.SH",603329,上海雅仕,上海,仓储物流,上海雅仕投资发展股份有限公司,主板,20171229
"603330.SH",603330,天洋新材,上海,塑料,天洋新材(上海)科技股份有限公司,主板,20170213
"603331.SH",603331,百达精工,浙江,专用机械,浙江百达精工股份有限公司,主板,20170705
"603332.SH",603332,苏州龙杰,江苏,化纤,苏州龙杰特种纤维股份有限公司,主板,20190117
"603333.SH",603333,尚纬股份,四川,电气设备,尚纬股份有限公司,主板,20120507
"603335.SH",603335,迪生力,广东,汽车配件,广东迪生力汽配股份有限公司,主板,20170620
"603336.SH",603336,宏辉果蔬,广东,农业综合,宏辉果蔬股份有限公司,主板,20161124
"603337.SH",603337,杰克股份,浙江,纺织机械,杰克科技股份有限公司,主板,20170119
"603338.SH",603338,浙江鼎力,浙江,专用机械,浙江鼎力机械股份有限公司,主板,20150325
"603339.SH",603339,四方科技,江苏,专用机械,四方科技集团股份有限公司,主板,20160519
"603345.SH",603345,安井食品,福建,食品,安井食品集团股份有限公司,主板,20170222
"603348.SH",603348,文灿股份,广东,汽车配件,文灿集团股份有限公司,主板,20180426
"603351.SH",603351,威尔药业,江苏,化学制药,南京威尔药业集团股份有限公司,主板,20190130
"603353.SH",603353,和顺石油,湖南,石油贸易,湖南和顺石油股份有限公司,主板,20200407
"603355.SH",603355,莱克电气,江苏,家用电器,莱克电气股份有限公司,主板,20150513
"603356.SH",603356,华菱精工,安徽,运输设备,宣城市华菱精工科技股份有限公司,主板,20180124
"603357.SH",603357,设计总院,安徽,建筑工程,安徽省交通规划设计研究总院股份有限公司,主板,20170801
"603358.SH",603358,华达科技,江苏,汽车配件,华达汽车科技股份有限公司,主板,20170125
"603359.SH",603359,东珠生态,江苏,环境保护,东珠生态环保股份有限公司,主板,20170901
"603360.SH",603360,百傲化学,辽宁,农药化肥,大连百傲化学股份有限公司,主板,20170206
"603363.SH",603363,傲农生物,福建,饲料,福建傲农生物科技集团股份有限公司,主板,20170926
"603365.SH",603365,水星家纺,上海,纺织,上海水星家用纺织品股份有限公司,主板,20171120
"603366.SH",603366,日出东方,江苏,家用电器,日出东方控股股份有限公司,主板,20120521
"603367.SH",603367,辰欣药业,山东,化学制药,辰欣药业股份有限公司,主板,20170929
"603368.SH",603368,柳药集团,广西,医药商业,广西柳药集团股份有限公司,主板,20141204
"603369.SH",603369,今世缘,江苏,白酒,江苏今世缘酒业股份有限公司,主板,20140703
"603377.SH",603377,东方时尚,北京,汽车服务,东方时尚驾驶学校股份有限公司,主板,20160205
"603378.SH",603378,亚士创能,上海,染料涂料,亚士创能科技(上海)股份有限公司,主板,20170928
"603379.SH",603379,三美股份,浙江,化工原料,浙江三美化工股份有限公司,主板,20190402
"603380.SH",603380,易德龙,江苏,元器件,苏州易德龙科技股份有限公司,主板,20170622
"603383.SH",603383,顶点软件,福建,软件服务,福建顶点软件股份有限公司,主板,20170522
"603385.SH",603385,惠达卫浴,河北,家居用品,惠达卫浴股份有限公司,主板,20170405
"603386.SH",603386,骏亚科技,广东,元器件,广东骏亚电子科技股份有限公司,主板,20170912
"603387.SH",603387,基蛋生物,江苏,医疗保健,基蛋生物科技股份有限公司,主板,20170717
"603388.SH",603388,元成股份,浙江,建筑工程,元成环境股份有限公司,主板,20170324
"603389.SH",603389,亚振家居,江苏,家居用品,亚振家居股份有限公司,主板,20161215
"603390.SH",603390,通达电气,广东,汽车配件,广州通达汽车电气股份有限公司,主板,20191125
"603392.SH",603392,万泰生物,北京,医疗保健,北京万泰生物药业股份有限公司,主板,20200429
"603393.SH",603393,新天然气,新疆,供气供热,新疆鑫泰天然气股份有限公司,主板,20160912
"603396.SH",603396,金辰股份,辽宁,专用机械,营口金辰机械股份有限公司,主板,20171018
"603398.SH",603398,沐邦高科,江西,文教休闲,江西沐邦高科股份有限公司,主板,20151209
"603399.SH",603399,吉翔股份,辽宁,小金属,锦州吉翔钼业股份有限公司,主板,20120824
"603408.SH",603408,建霖家居,福建,家居用品,厦门建霖健康家居股份有限公司,主板,20200730
"603416.SH",603416,信捷电气,江苏,电器仪表,无锡信捷电气股份有限公司,主板,20161221
"603421.SH",603421,鼎信通讯,山东,通信设备,青岛鼎信通讯股份有限公司,主板,20161011
"603429.SH",603429,集友股份,安徽,广告包装,安徽集友新材料股份有限公司,主板,20170124
"603439.SH",603439,贵州三力,贵州,中成药,贵州三力制药股份有限公司,主板,20200428
"603444.SH",603444,吉比特,福建,互联网,厦门吉比特网络技术股份有限公司,主板,20170104
"603456.SH",603456,九洲药业,浙江,医疗保健,浙江九洲药业股份有限公司,主板,20141010
"603466.SH",603466,风语筑,上海,文教休闲,上海风语筑文化科技股份有限公司,主板,20171020
"603477.SH",603477,巨星农牧,四川,农业综合,乐山巨星农牧股份有限公司,主板,20171218
"603486.SH",603486,科沃斯,江苏,家用电器,科沃斯机器人股份有限公司,主板,20180528
"603488.SH",603488,展鹏科技,江苏,运输设备,展鹏科技股份有限公司,主板,20170516
"603489.SH",603489,八方股份,江苏,电气设备,八方电气(苏州)股份有限公司,主板,20191111
"603496.SH",603496,恒为科技,上海,IT设备,恒为科技(上海)股份有限公司,主板,20170607
"603499.SH",603499,翔港科技,上海,广告包装,上海翔港包装科技股份有限公司,主板,20171016
"603500.SH",603500,祥和实业,浙江,运输设备,浙江天台祥和实业股份有限公司,主板,20170904
"603501.SH",603501,韦尔股份,上海,半导体,上海韦尔半导体股份有限公司,主板,20170504
"603505.SH",603505,金石资源,浙江,化工原料,金石资源集团股份有限公司,主板,20170503
"603506.SH",603506,南都物业,浙江,房产服务,南都物业服务集团股份有限公司,主板,20180201
"603507.SH",603507,振江股份,江苏,电气设备,江苏振江新能源装备股份有限公司,主板,20171106
"603508.SH",603508,思维列控,河南,软件服务,河南思维自动化设备股份有限公司,主板,20151224
"603511.SH",603511,爱慕股份,北京,服饰,爱慕股份有限公司,主板,20210531
"603515.SH",603515,欧普照明,上海,家用电器,欧普照明股份有限公司,主板,20160819
"603516.SH",603516,淳中科技,北京,通信设备,北京淳中科技股份有限公司,主板,20180202
"603517.SH",603517,绝味食品,湖南,食品,绝味食品股份有限公司,主板,20170317
"603518.SH",603518,锦泓集团,江苏,服饰,锦泓时装集团股份有限公司,主板,20141203
"603519.SH",603519,立霸股份,江苏,家用电器,江苏立霸实业股份有限公司,主板,20150319
"603520.SH",603520,司太立,浙江,化学制药,浙江司太立制药股份有限公司,主板,20160309
"603527.SH",603527,众源新材,安徽,铜,安徽众源新材料股份有限公司,主板,20170907
"603528.SH",603528,多伦科技,江苏,软件服务,多伦科技股份有限公司,主板,20160503
"603529.SH",603529,爱玛科技,天津,摩托车,爱玛科技集团股份有限公司,主板,20210615
"603530.SH",603530,神马电力,江苏,电气设备,江苏神马电力股份有限公司,主板,20190805
"603533.SH",603533,掌阅科技,北京,互联网,掌阅科技股份有限公司,主板,20170921
"603535.SH",603535,嘉诚国际,广东,仓储物流,广州市嘉诚国际物流股份有限公司,主板,20170808
"603536.SH",603536,惠发食品,山东,食品,山东惠发食品股份有限公司,主板,20170613
"603538.SH",603538,美诺华,浙江,化学制药,宁波美诺华药业股份有限公司,主板,20170407
"603551.SH",603551,奥普家居,浙江,家居用品,奥普家居股份有限公司,主板,20200115
"603556.SH",603556,海兴电力,浙江,电器仪表,杭州海兴电力科技股份有限公司,主板,20161110
"603557.SH",603557,ST起步,浙江,服饰,起步股份有限公司,主板,20170818
"603558.SH",603558,健盛集团,浙江,纺织,浙江健盛集团股份有限公司,主板,20150127
"603565.SH",603565,中谷物流,上海,仓储物流,上海中谷物流股份有限公司,主板,20200925
"603566.SH",603566,普莱柯,河南,农业综合,普莱柯生物工程股份有限公司,主板,20150518
"603567.SH",603567,珍宝岛,黑龙江,中成药,黑龙江珍宝岛药业股份有限公司,主板,20150424
"603568.SH",603568,伟明环保,浙江,环境保护,浙江伟明环保股份有限公司,主板,20150528
"603569.SH",603569,长久物流,北京,仓储物流,北京长久物流股份有限公司,主板,20160810
"603577.SH",603577,汇金通,山东,电气设备,青岛汇金通电力设备股份有限公司,主板,20161222
"603578.SH",603578,三星新材,浙江,玻璃,浙江三星新材股份有限公司,主板,20170306
"603579.SH",603579,荣泰健康,上海,家用电器,上海荣泰健康科技股份有限公司,主板,20170111
"603580.SH",603580,艾艾精工,上海,塑料,艾艾精密工业输送系统(上海)股份有限公司,主板,20170525
"603583.SH",603583,捷昌驱动,浙江,电气设备,浙江捷昌线性驱动科技股份有限公司,主板,20180921
